gene_selected;gene_evaluated;corr;pvalue;rank;is_on_pathway
DICER1;IQUB;0,126213359;3,491424873;205;0
DICER1;CNIH4;-0,126211164;3,491319657;206;0
DICER1;IER5L;-0,126112864;3,486609272;207;0
DICER1;EMC3;0,126043837;3,483303632;208;0
DICER1;ZNF639;0,125969859;3,479762725;209;0
DICER1;SLC25A21;0,125946332;3,478637014;210;0
DICER1;DNAJC4;-0,125844728;3,473777717;211;0
DICER1;COX6A2;-0,125782694;3,470812665;212;0
DICER1;BTN1A1;-0,125733026;3,468439642;213;0
DICER1;CCDC124;-0,125636798;3,463844507;214;0
DICER1;ACTN1;0,125607744;3,462457758;215;0
DICER1;UBE2J1;0,125323767;3,448918789;216;0
DICER1;FRMD4A;0,12529881;3,447730268;217;0
DICER1;ARMC5;-0,125230186;3,44446332;218;0
DICER1;TMEM42;-0,125179465;3,442049731;219;0
DICER1;OR51S1;-0,125127788;3,439591586;220;0
DICER1;DDX6;0,125099138;3,438229173;221;0
DICER1;PFN2;0,125080839;3,437359129;222;0
DICER1;AADAC;0,12489507;3,42853322;223;0
DICER1;LAMB4;0,124384098;3,404318603;224;0
DICER1;EIF2B2;0,124377636;3,404012959;225;0
DICER1;PTPN14;-0,124292132;3,399970012;226;0
DICER1;SSB;0,124152087;3,393353672;227;0
DICER1;DDHD2;-0,124137546;3,392667087;228;0
DICER1;CSNK1D;-0,123916957;3,38226043;229;0
DICER1;SLC25A27;-0,123642192;3,369321528;230;0
DICER1;CDH9;0,123563611;3,36562586;231;0
DICER1;WASHC4;0,123559975;3,365454944;232;0
DICER1;MTX1;-0,123479305;3,36166338;233;0
DICER1;RBM18;-0,123415206;3,358652302;234;0
DICER1;ZNF81;-0,124733912;3,351620754;235;0
DICER1;PRPS1;-0,124492245;3,34042481;236;0
DICER1;SAE1;0,122862162;3,332731822;237;0
DICER1;TMEM106C;-0,122852683;3,332288462;238;0
DICER1;YIPF6;-0,124085451;3,32162349;239;0
DICER1;RNF165;-0,122602932;3,320618494;240;0
DICER1;OR4P4;-0,122475049;3,314651343;241;0
DICER1;CAPN5;-0,122293482;3,306188937;242;0
DICER1;BCHE;0,122250069;3,304167226;243;0
DICER1;CNNM3;-0,122138259;3,298963424;244;0
DICER1;MAP3K4;0,123050458;3,29892186;245;0
DICER1;MMGT1;0,123495997;3,294479326;246;0
DICER1;EPC1;-0,122830402;3,288767467;247;0
DICER1;ZPR1;0,121627107;3,275228552;248;0
DICER1;STT3B;0,121434599;3,266313056;249;0
DICER1;NPAS4;-0,121433685;3,266270742;250;0
DICER1;ALG2;0,121238421;3,257240764;251;0
DICER1;MFSD12;-0,121232129;3,256950025;252;0
DICER1;TRIM34;0,121205841;3,255735396;253;0
DICER1;PPM1H;-0,121086917;3,250243527;254;0
DICER1;SIN3A;0,121929679;3,247375946;255;0
DICER1;FNTB;0,120873888;3,240418146;256;0
DICER1;TRIM72;-0,120765444;3,235422485;257;0
DICER1;TUBA3D;-0,120686564;3,231791297;258;0
DICER1;ATP2C1;0,120552478;3,22562367;259;0
DICER1;SLC7A10;-0,120526403;3,224424995;260;0
DICER1;CDC6;-0,120441194;3,220509572;261;0
DICER1;ATP6V1B2;0,120372963;3,217376092;262;0
DICER1;UNC119;-0,120348899;3,216271345;263;0
DICER1;MRPL38;-0,120317244;3,21481843;264;0
DICER1;SUN5;-0,120269543;3,212629676;265;0
DICER1;MKLN1;0,120238353;3,211198948;266;0
DICER1;SEL1L;0,120059554;3,203003628;267;0
DICER1;RGPD4;-0,120017284;3,201067776;268;0
DICER1;EIF5;0,119986041;3,199637351;269;0
DICER1;STX4;-0,119929707;3,197058972;270;0
DICER1;FOXD3;0,119896473;3,195538402;271;0
DICER1;SYTL3;-0,119874311;3,194524581;272;0
DICER1;OR4C15;-0,119641648;3,183891796;273;0
DICER1;GNRHR;-0,11954799;3,179616829;274;0
DICER1;USP10;0,119339854;3,170127443;275;0
DICER1;MCMBP;0,120214715;3,169330339;276;0
DICER1;CDHR2;0,119187941;3,163210825;277;0
DICER1;CLPX;-0,119180206;3,162858835;278;0
DICER1;FDXACB1;0,119118383;3,160046468;279;0
DICER1;LTO1;0,119056425;3,157229279;280;0
DICER1;CAPZA1;-0,119024931;3,155797789;281;0
DICER1;OR5AK2;-0,118994137;3,154398437;282;0
DICER1;H2AFZ;0,118973879;3,153478022;283;0
DICER1;ADIPOR1;0,118924497;3,151235006;284;0
DICER1;GPR45;-0,118740427;3,142881617;285;0
DICER1;KDM6A;-0,120654491;3,127575303;286;0
DICER1;SEPSECS;0,118359485;3,125630853;287;0
DICER1;TSPAN17;-0,118287054;3,122356499;288;0
DICER1;NHLH2;-0,118260322;3,12114851;289;0
DICER1;TBC1D8B;-0,119621245;3,118967644;290;0
DICER1;TAF12;0,119047781;3,116796011;291;0
DICER1;MSTO1;0,118103623;3,114072306;292;0
DICER1;GCFC2;-0,118013291;3,109996937;293;0
DICER1;JAGN1;0,117913562;3,105500914;294;0
DICER1;HOPX;-0,117806075;3,100658922;295;0
DICER1;PSMD9;-0,118591539;3,096381944;296;0
DICER1;OR56A1;0,11761726;3,092162966;297;0
DICER1;PPP2R3A;0,11758537;3,090729248;298;0
DICER1;FLI1;0,117541281;3,088747649;299;0
DICER1;MDH1;0,117518129;3,087707361;300;0
DICER1;MRPL53;-0,11741063;3,082879479;301;0
DICER1;CDK5R1;-0,117396956;3,082265624;302;0
DICER1;SCRT2;0,117394667;3,082162889;303;0
DICER1;C12orf57;-0,117389882;3,0819481;304;0
DICER1;EDA2R;-0,118727168;3,079187059;305;0
DICER1;C5orf38;0,117151041;3,071237354;306;0
DICER1;SLC1A7;0,11714193;3,070829183;307;0
DICER1;FRYL;-0,117032515;3,065929388;308;0
DICER1;RND3;-0,116996484;3,064316771;309;0
DICER1;DCAF6;-0,117854968;3,063573706;310;0
DICER1;ADAT2;0,116976804;3,063436151;311;0
DICER1;KIF2A;0,116920674;3,060925212;312;0
DICER1;RALY;0,116894253;3,05974369;313;0
DICER1;OR2A25;-0,116882496;3,059217984;314;0
DICER1;TEX36;0,116828362;3,056798081;315;0
DICER1;EN1;-0,116827748;3,056770616;316;0
DICER1;WDR24;0,116797272;3,055408722;317;0
DICER1;GHR;-0,116514701;3,04279658;318;0
DICER1;CHCHD1;-0,116502579;3,042256126;319;0
DICER1;CYBB;-0,117846116;3,040248535;320;0
DICER1;TBC1D5;0,116440973;3,039510339;321;0
DICER1;HAUS8;-0,116380558;3,036818866;322;0
DICER1;PTPRR;-0,116316462;3,033964796;323;0
DICER1;GPR75;0,116268137;3,031813901;324;0
DICER1;SKIL;0,117024236;3,026791616;325;0
DICER1;AKAP6;0,116076006;3,023270281;326;0
DICER1;PDGFC;-0,116054134;3,022298477;327;0
DICER1;ARF1;0,116029784;3,02121679;328;0
DICER1;ADGRA2;-0,115919755;3,016331487;329;0
DICER1;GLUD2;-0,118069134;3,013888789;330;0
DICER1;ZNF688;-0,115821824;3,011986839;331;0
DICER1;APEH;-0,11572067;3,007502626;332;0
DICER1;CPNE8;-0,11569466;3,006350197;333;0
DICER1;BTNL9;0,115608973;3,002555148;334;0
DICER1;PES1;-0,115580151;3,001279234;335;0
DICER1;TCERG1;-0,116421539;3,000252164;336;0
DICER1;PYCARD;-0,115537219;2,999379157;337;0
DICER1;HBE1;0,115535685;2,999311277;338;0
DICER1;GPR85;0,11550478;2,997943923;339;0
DICER1;KIRREL1;-0,115473274;2,996550262;340;0
DICER1;KLRC2;-0,115355239;2,99133219;341;0
DICER1;KIAA1024L;-0,115197864;2,984382386;342;0
DICER1;POU3F3;-0,115190224;2,9840452;343;0
DICER1;IL36B;-0,115168923;2,98310523;344;0
DICER1;MS4A15;-0,115133099;2,981524785;345;0
DICER1;SUPT20H;0,115884865;2,976723273;346;0
DICER1;RFT1;0,115010376;2,976113821;347;0
DICER1;RARRES1;0,114880478;2,970392154;348;0
DICER1;USP37;-0,114837018;2,968479107;349;0
DICER1;PPA1;0,114771528;2,965597603;350;0
DICER1;WARS;0,114716464;2,963175969;351;0
DICER1;ZNF222;-0,114629896;2,959370958;352;0
DICER1;COX18;-0,114606992;2,958364661;353;0
DICER1;NDC1;0,114596144;2,95788808;354;0
DICER1;PSMC6;0,114547016;2,955730398;355;0
DICER1;INSL3;-0,114516641;2,954396781;356;0
DICER1;LSM7;-0,114412965;2,94984716;357;0
DICER1;LIN28B;0,114351168;2,947137068;358;0
DICER1;SORD;-0,114341485;2,946712519;359;0
DICER1;ZNF430;-0,115176603;2,945820317;360;0
DICER1;NFE2L1;0,114320874;2,945808996;361;0
DICER1;IL36G;-0,114294074;2,944634376;362;0
DICER1;CCNG2;-0,1142578;2,94304491;363;0
DICER1;SLC38A2;0,114253721;2,942866182;364;0
DICER1;TMEM151A;-0,11398798;2,931235897;365;0
DICER1;WIF1;-0,113984661;2,931090808;366;0
DICER1;NPRL2;-0,113974367;2,930640787;367;0
DICER1;CYSTM1;-0,113850418;2,925224927;368;0
DICER1;WDHD1;0,114656265;2,923224618;369;0
DICER1;COX8A;-0,113797885;2,92293113;370;0
