SELECTED_GENE;EVALUATED_GENE;CORRELATION;PVALUE;is_on_pathway
GART;RSU1;-0,268419602;3.571396184667024e-17;0
GART;COX19;0.2679829885660416;4.032584310503585e-17;0
GART;TMEM199;0.2676595925597957;4.4115294981040374e-17;0
GART;MTG2;0.2674362898775184;4.6934413747770524e-17;0
GART;MED16;0.2673763146568931;4.772133169768358e-17;0
GART;PDSS2;0.2670133727768466;5.276824968029825e-17;0
GART;GET3;0.2667856038579978;5.620022786888886e-17;0
GART;EIF5A;0.2666748658648399;5.794730464519992e-17;0
GART;EZH2;0.2665737968979972;5.958845452942537e-17;0
GART;POLRMT;0.2662930179467195;6.439173561984078e-17;0
GART;COQ3;0.2652493955440711;8.582631821425362e-17;0
GART;RPE65;-0,264713152;9.943224538666663e-17;0
GART;TPI1;0.2644740767314269;1.061627786931515e-16;0
GART;IPMK;0.2639568514178614;1.2229611501492835e-16;0
GART;COX7B;0.26241970444920687;1.8587130367106915e-16;0
GART;CENPE;-0,262336993;1.9009076104036819e-16;0
GART;ARHGAP45;0.26231254883790567;1.9135569628413902e-16;0
GART;MRPL16;0.26230668298654103;1.9166047512622315e-16;0
GART;COX15;0.2622332987033745;1.955140051868804e-16;0
GART;DNLZ;0,261966935;2.1015275155378806e-16;0
GART;COX7C;0.26159521763716714;2.3239958742958126e-16;0
GART;CARS2;0.2613771274210883;2.4651446927717895e-16;0
GART;SEC14L1;0.2611895741511454;2.59325299688818e-16;0
GART;TRIO;-0,260997994;2.7308732859934695e-16;0
GART;JUN;-0,260635784;3.010986675041517e-16;0
GART;MRPL37;0.2594715859738016;4.1168679808077914e-16;0
GART;YARS2;0.25902329479729774;4.641946885470756e-16;0
GART;MRPL45;0.2589531890340461;4.729812293230269e-16;0
GART;MRPS15;0,258504971;5.331537842514402e-16;0
GART;DLG5;-0,257961333;6.16308762465845e-16;0
GART;SGF29;0.25765956066402457;6.678452314382718e-16;0
GART;CBFB;0.2571301042661348;7.687023956536514e-16;0
GART;MRPL28;0.2567892619078935;8.414080597709705e-16;0
GART;MICOS10;0.2565287254367079;9.015062802488357e-16;0
GART;VMA21;0.2561083769568797;1.0074841757142303e-15;0
GART;CCNA2;-0,255312953;1.242618625831944e-15;0
GART;SLC25A3;0.2551539989825992;1.2957021031820753e-15;0
GART;ADIPOR2;0.2550139110413431;1.344329620685934e-15;0
GART;GPR61;-0,254946155;1.3684887539658691e-15;0
GART;SUPV3L1;0.2545927651156919;1.501584089781497e-15;0
GART;GMPPB;0.2545749889838193;1.5086052142787267e-15;0
GART;GATB;0.25448555079333135;1.5444238497448337e-15;0
GART;RPE;0.2540146548155804;1.7472561121212003e-15;0
GART;MED15;0.25371054851032787;1.8919375779247028e-15;0
GART;MFN2;0.2527504799593561;2.4304231164330976e-15;0
GART;TRMT10C;0.25270241710308594;2.4610213647317515e-15;0
GART;CHCHD3;0.25267057691116857;2.481500015877145e-15;0
GART;KLC2;-0,252569513;2.5476174818912986e-15;0
GART;PRELID3B;0.25229447901801116;2.736444904909158e-15;0
GART;KIF2C;-0,252055386;2.9117289403038987e-15;0
GART;MED23;0.2517330788749732;3.165593158317583e-15;0
GART;MRPL22;0.25150861712401484;3.355118094507414e-15;0
GART;KEAP1;0.25059514152512874;4.24835160088375e-15;0
GART;COQ6;0.25059289103014926;4.250817901267371e-15;0
GART;BCL2;0.2503177967739498;4.563135719057715e-15;0
GART;CDCA5;-0,249618647;5.461983951546265e-15;0
GART;ILK;-0,249404168;5.771079261652236e-15;0
GART;MRPS12;0.24923284554690117;6.030273334366865e-15;0
GART;NDUFS7;0.24918815908490857;6.099739676581012e-15;0
GART;HMBS;0.24793881337628138;8.394324908488199e-15;0
GART;GALE;0.24653635399873078;1.198789675843374e-14;0
GART;MRPL21;0.24647038085514633;1.2189873516821839e-14;0
GART;POLG;0.24646034638859224;1.2220885528479255e-14;0
GART;SLC3A2;0.24630403419744581;1.2714103798647354e-14;0
GART;GADD45GIP1;0.24620127340707348;1.3048948552366026e-14;0
GART;MRPL40;0.2457306438330494;1.4696536585182556e-14;0
GART;MRPL12;0.24553298897400014;1.5447927851881782e-14;0
GART;MRPL33;0.2454460435776142;1.579028594236474e-14;0
GART;MVK;0.2453936641471696;1.60001222766331e-14;0
GART;TRUB2;0.24533695733526967;1.6230382697894118e-14;0
GART;ANKH;0.24530770453874107;1.635043441422632e-14;0
GART;MBTPS1;0.24460562367086805;1.950824717359221e-14;0
GART;SLC25A51;0.24454964665594953;1.978437393653082e-14;0
GART;ACOXL;-0,244233391;2.1418050394026044e-14;0
GART;MRPL52;0.24374825031260908;2.4184865074555515e-14;0
GART;TAF6L;0.24271860188124417;3.127143508204987e-14;0
GART;XYLT2;-0,242545164;3.265096686424234e-14;0
GART;MTG1;0.2425267531078956;3.280086975215576e-14;0
GART;MEMO1;-0,242235076;3.5267880644001065e-14;0
GART;CCDC47;0.2418263940326679;3.903349744437143e-14;0
GART;MRPS22;0.2418184827247272;3.911015585115657e-14;0
GART;EPS8L3;-0,241611367;4.117048376851044e-14;0
GART;SP1;0.24084246272417198;4.9794078971321005e-14;0
GART;PNPT1;0.24070600935615674;5.1499717740630475e-14;0
GART;ELMO2;-0,240555195;5.345162495349861e-14;0
GART;EED;0.24029973715213995;5.692483871209756e-14;0
GART;CCDC115;0.24019452555908632;5.841886228518268e-14;0
GART;OVGP1;-0,239911894;6.262547681380884e-14;0
GART;SLC25A1;0.23931440970008347;7.252074864624074e-14;0
GART;SCD;0.2387604917676851;8.305649313208911e-14;0
GART;DDX28;0.23865634405053374;8.519880986057855e-14;0
GART;MALSU1;0.23829602135181216;9.303737481469529e-14;0
GART;IDH3A;0.23793200649866864;1.0167386664599511e-13;0
GART;PTCD1;0.23731134770380563;1.182481082666842e-13;0
GART;TFB1M;0.23681468607878006;1.3339588967725897e-13;0
GART;MRPS26;0.23668931948182456;1.3751096069329864e-13;0
GART;KIRREL1;0.23632487366293814;1.5019391101271868e-13;0
GART;RAC1;-0,235660375;1.763388153785066e-13;0
GART;MDH2;0.2347509074706522;2.1947882005745828e-13;0
GART;MTRR;0.23453983062387096;2.308843746695974e-13;0
GART;AAGAB;0.23437347726356736;2.4028107518672883e-13;0
GART;MRPS18B;0.23423554182643858;2.4835614056211737e-13;0
GART;EBF1;0.2341208938326515;2.5526995147173733e-13;0
GART;RBBP4;0.23392614995671432;2.674490013889616e-13;0
GART;RAPH1;-0,233638657;2.8647662883616624e-13;0
GART;ZNF479;0.23346334708833574;2.9872445131985437e-13;0
GART;SMARCA5;0.23345232748890526;2.9951124791569107e-13;0
GART;EMC7;0,233339709;3.0766959869478206e-13;0
GART;MMGT1;0.23330867260273033;3.0995598372438835e-13;0
GART;ADAT3;0.23279597866362078;3.5022699109445336e-13;0
GART;MRPL15;0.2326113677349984;3.659492673319607e-13;0
GART;SLK;-0,232264071;3.974241499029387e-13;0
GART;FASTKD5;0.23171164021636742;4.530372440579346e-13;0
GART;BCAR1;-0,231687892;4.555917353543066e-13;0
GART;MED10;0.2313034163963228;4.98967096513304e-13;0
GART;MRPL2;0.2309881144515404;5.375381170048942e-13;0
GART;PARS2;0.23098797779647728;5.375554517070119e-13;0
GART;TSC2;0.23052287234015847;5.998432283429738e-13;0
GART;GET1;0.23050822995660525;6.019148750816115e-13;0
GART;HAO2;-0,230186724;6.492114970918056e-13;0
GART;MAU2;0.22986504931060905;7.001726697260555e-13;0
GART;USP22;0.2298114659287839;7.090342678916852e-13;0
GART;FAAP20;-0,229473807;7.674591851189809e-13;0
GART;CRKL;-0,22929356;8.005525683554966e-13;0
GART;POT1;0.22921654529464228;8.151153122647248e-13;0
GART;COX14;0.22913334714928335;8.311389407084481e-13;0
GART;PXN;-0,229009611;8.555423782480252e-13;0
GART;MRPS35;0.22892048399235934;8.735539561547829e-13;0
GART;PPP4C;0.22889934222831873;8.778806738467494e-13;0
GART;MRPL41;0.22855482751090603;9.514183828489143e-13;0
GART;MRPL3;0,227640294;1.1771650590451504e-12;0
GART;TAMALIN;-0,227537986;1.205470789658515e-12;0
GART;TAF13;0.22679403505450416;1.4323398234023247e-12;0
GART;SH3GL1;0.22663547337459572;1.485845380115351e-12;0
GART;TARS2;0.2262404080178447;1.6278190627758414e-12;0
GART;SLC25A28;-0,226136348;1.6673739749149208e-12;0
GART;MRPL14;0.2259639112174239;1.735001889907257e-12;0
GART;GPX8;-0,22595477;1.7386611724109282e-12;0
GART;RUNX1;0.22583950758975715;1.7854527256119305e-12;0
GART;ZFP36L1;-0,225784403;1.8082564106260213e-12;0
GART;MRPL46;0.22563605125951816;1.871075596088428e-12;0
GART;ERCC2;0.2252406079852199;2.0491531203435517e-12;0
GART;DOHH;0.22521115152032586;2.0630631997600156e-12;0
GART;CCNB1;-0,225188011;2.0740553673725743e-12;0
GART;COA3;0.22469143030425442;2.3242579480512877e-12;0
GART;MRPL18;0.2244408680010596;2.4614913756180714e-12;0
GART;CTBP1;0.2243693957984061;2.5020703921982997e-12;0
GART;IBA57;0.22418712688341455;2.608543807991739e-12;0
GART;CENPC;-0,224154083;2.62831627562057e-12;0
GART;KIAA1143;-0,224134686;2.6399907954184756e-12;0
GART;PPP1R2;-0,223917372;2.774309731552782e-12;0
GART;TRMT61A;0.22382120246454293;2.835865534908374e-12;0
GART;CDC42;-0,223727145;2.8973621693158957e-12;0
GART;NGRN;0.2236463595417619;2.951222045522453e-12;0
GART;COQ10B;0.22361078385914906;2.9752502148533474e-12;0
GART;ARHGAP35;0.2235450871262078;3.0201269036771965e-12;0
GART;CFL1;0.22312181372620282;3.325567081884663e-12;0
GART;ZNF592;0.22294389939498274;3.462798972403223e-12;0
GART;ROCK2;0.2227634376477764;3.6076553514477068e-12;0
GART;AK2;0.22247140234399237;3.854730622065215e-12;0
GART;NCLN;0.2220964213533758;4.1963839556264395e-12;0
GART;SRM;0.2220843114460937;4.207897777410033e-12;0
GART;FNDC3B;-0,2216356;4.6570237237601516e-12;0
GART;WDR26;-0,221486609;4.816280347157308e-12;0
GART;GATC;0.22102546315541147;5.343728845449493e-12;0
GART;RAD54L;-0,220941116;5.446139329089224e-12;0
GART;C19orf53;-0,220912538;5.481270509314533e-12;0
GART;ORC3;0.2204629817319414;6.064003759332963e-12;0
GART;PCNX3;-0,220393026;6.159973330196092e-12;0
GART;CFAP97D1;-0,220006364;6.7178402816027125e-12;0
GART;DNAJC11;0.21986436604270201;6.934880102829299e-12;0
GART;SCAP;0.2198540264424972;6.950949155496099e-12;0
GART;NDUFV2;0.21984899538369906;6.958781230483104e-12;0
GART;MRPS27;0.2198344728434405;6.981437586683465e-12;0
GART;GTPBP8;0.21964250756228285;7.287787648383733e-12;0
GART;CD79A;0.21960959872599256;7.3416099936835e-12;0
GART;SLC25A19;0.2195629398790987;7.418587583916144e-12;0
GART;SUZ12;0.21945963177601335;7.591845437411043e-12;0
GART;RHOQ;-0,219279898;7.902759433941004e-12;0
GART;WDR59;0.2192708784122605;7.918685204856257e-12;0
GART;PCSK9;-0,219161464;8.114405497200997e-12;0
GART;VPS16;0.2186955877581332;9.002081739421815e-12;0
GART;TXNL4B;0.21866820565697206;9.057112310497236e-12;0
GART;TTC7A;0.2186251546724139;9.144299140477521e-12;0
GART;PAX5;0.21857607746694618;9.244691908831695e-12;0
GART;TMEM177;-0,218229528;9.984932847040081e-12;0
GART;CZIB;-0,218094966;1.028772732068221e-11;0
GART;DPH6;0.21789761699989207;1.0748110285506965e-11;0
GART;PCYT1A;0.21786820851845334;1.0818418572990392e-11;0
GART;PKN2;-0,217860413;1.083713188735227e-11;0
GART;ZYG11B;-0,21780319;1.0975461466169825e-11;0
GART;YPEL5;-0,217503367;1.1728965858364764e-11;0
GART;TADA3;0.21736889606376872;1.2083131401035246e-11;0
GART;PPIL1;0.21719522716515768;1.2556042948237604e-11;0
GART;TMEM41B;0.21712730024712046;1.2745895719867591e-11;0
GART;SLC39A7;-0,216989427;1.3139916128972246e-11;0
GART;CCND3;0.21691037199718896;1.3371191732688833e-11;0
GART;PTP4A2;0.21678207826334608;1.3755011720508055e-11;0
GART;BLOC1S1;0.2166772053057707;1.407674785068683e-11;0
GART;EP300;0.2166173353342941;1.4263708381905288e-11;0
GART;MRPS23;0.2162411491463785;1.549525355519571e-11;0
GART;SLC35A3;-0,216190076;1.5670272123302946e-11;0
GART;ACSL4;0.21617453959666008;1.572389639125289e-11;0
GART;GCLM;0.21579523781225915;1.7090137937000375e-11;0
GART;DENND4A;0.21562610496884563;1.773614348203602e-11;0
GART;HMGB1;0.21537272202385943;1.874884496604758e-11;0
GART;KCTD5;0.21518667981120723;1.9528178058849772e-11;0
GART;MTCH2;0.21510243236437976;1.989142519138744e-11;0
GART;H2BC7;0.2146850208700587;2.1790865876790555e-11;0
GART;MRPL32;0.2145779897999434;2.2305794196799555e-11;0
GART;NMT1;0.21442283518945673;2.3073422944169948e-11;0
GART;MLLT1;0.21438306127321932;2.3274326217850012e-11;0
GART;WDR18;0.21427003406212955;2.3854620435694238e-11;0
GART;MRPS9;0.21424794383444387;2.396967476212997e-11;0
GART;BICRA;0.21421746448022447;2.4129313737633502e-11;0
GART;KCNIP3;-0,21421131;2.4161675112933138e-11;0
GART;LIMS1;-0,214188087;2.428416304253678e-11;0
GART;PFDN1;-0,214010449;2.5241415469593385e-11;0
GART;DNAI3;-0,213981614;2.540023917785773e-11;0
GART;MTPAP;0.21386749760951654;2.6038436039066677e-11;0
GART;SAMM50;0.21384042020319236;2.6192152078209763e-11;0
GART;GLRX5;0.21372164131591695;2.6876992737771058e-11;0
GART;YAP1;-0,213666659;2.7199896732019505e-11;0
GART;PCYT2;0,213620024;2.7476752553418414e-11;0
GART;MRPL4;0.21360458740092153;2.756899605715332e-11;0
GART;UXS1;0.21352341773496655;2.8059049770462578e-11;0
GART;AAK1;-0,213292669;2.949913663668689e-11;0
GART;TAOK1;0.21307197237540182;3.0943939085734696e-11;0
GART;NDUFA13;0.21297453500518435;3.160360966963588e-11;0
GART;WWTR1;-0,212964975;3.1669068368474154e-11;0
GART;TEFM;0.21255022493925874;3.464009001476019e-11;0
GART;PTCD3;0.21247356895033426;3.521826992251438e-11;0
GART;MTERF3;0.21241590366351754;3.565941591236587e-11;0
GART;RPL26L1;-0,212401842;3.576780805080358e-11;0
GART;TSSK3;-0,212357414;3.6112383893390815e-11;0
GART;GPX7;-0,212316087;3.643582298657661e-11;0
